Boot No,Exhibitor Name,Website,Description,Images Link
B001,TechNova Solutions,https://www.technova.com,Leading provider of AI and IoT solutions,https://picsum.photos/seed/1/300/200
B002,GreenFuture Energy,https://www.greenfuture.com,Sustainable energy solutions for smart cities,https://picsum.photos/seed/2/300/200
B003,HealthPlus Pharma,https://www.healthplus.com,Innovative healthcare and pharmaceutical products,https://picsum.photos/seed/3/300/200
B004,BuildSmart Constructions,https://www.buildsmart.com,Modern construction technologies and smart housing,https://picsum.photos/seed/4/300/200
B005,AutoDrive Motors,https://www.autodrive.com,Electric and autonomous vehicle manufacturer,https://picsum.photos/seed/5/300/200
B006,FoodieDelight,https://www.foodiedelight.com,Organic food products and gourmet items,https://picsum.photos/seed/6/300/200
B007,SmartWear Tech,https://www.smartwear.com,Wearable gadgets and health monitoring devices,https://picsum.photos/seed/7/300/200
B008,NextGen Robotics,https://www.nextgenrobotics.com,Robotic automation and AI-driven solutions,https://picsum.photos/seed/8/300/200
B009,AgroGrow,https://www.agrogrow.com,Smart farming and agricultural equipment,https://picsum.photos/seed/9/300/200
B010,VisionMedia,https://www.visionmedia.com,Digital marketing and creative branding solutions,https://picsum.photos/seed/10/300/200
B011,CyberSecure Inc,https://www.cybersecure.com,Cybersecurity services and cloud protection,https://picsum.photos/seed/11/300/200
B012,UrbanMobility,https://www.urbanmobility.com,Smart public transportation solutions,https://picsum.photos/seed/12/300/200
B013,BlueOcean Tech,https://www.blueocean.com,Marine technologies and water sustainability,https://picsum.photos/seed/13/300/200
B014,FutureEdu,https://www.futureedu.com,EdTech solutions for online learning,https://picsum.photos/seed/14/300/200
B015,Meditech Solutions,https://www.meditech.com,Medical devices and diagnostic systems,https://picsum.photos/seed/15/300/200
B016,PixelWorks,https://www.pixelworks.com,Graphic design and creative studio services,https://picsum.photos/seed/16/300/200
B017,SmartHome Living,https://www.smarthomeliving.com,Home automation and IoT-based appliances,https://picsum.photos/seed/17/300/200
B018,FlyHigh Drones,https://www.flyhigh.com,Commercial and industrial drone solutions,https://picsum.photos/seed/18/300/200
B019,FinEdge Tech,https://www.finedge.com,FinTech solutions for digital banking,https://picsum.photos/seed/19/300/200
B020,BioLife Sciences,https://www.biolife.com,Biotech innovations and life sciences research,https://picsum.photos/seed/20/300/200
B021,GameSphere,https://www.gamesphere.com,VR and AR gaming technologies,https://picsum.photos/seed/21/300/200
B022,CraftWorld,https://www.craftworld.com,Handmade crafts and lifestyle products,https://picsum.photos/seed/22/300/200
B023,TravelEase,https://www.travelease.com,AI-powered travel booking and management,https://picsum.photos/seed/23/300/200
B024,DataVision Analytics,https://www.datavision.com,Big data analytics and AI dashboards,https://picsum.photos/seed/24/300/200
B025,EcoTech Plastics,https://www.ecotech.com,Recycled plastic products and green packaging,https://picsum.photos/seed/25/300/200
B026,SmartFinance,https://www.smartfinance.com,Personal finance management apps,https://picsum.photos/seed/26/300/200
B027,StyleHub,https://www.stylehub.com,Fashion and lifestyle e-commerce platform,https://picsum.photos/seed/27/300/200
B028,AutoParts Pro,https://www.autopartspro.com,Automotive spare parts and accessories,https://picsum.photos/seed/28/300/200
B029,Eventura,https://www.eventura.com,Event management and exhibition services,https://picsum.photos/seed/29/300/200
B030,CloudSync,https://www.cloudsync.com,Cloud storage and SaaS collaboration tools,https://picsum.photos/seed/30/300/200
